Rank,Folder Name,Average Resolution (pixels)
1,rf_laughingthrush,4109047.0125
2,bali_myna,3519065.053097345
3,bw_leafbird,3088657.118181818
4,cg_magpie,2893149.430379747
5,sh_bulbul,2890221.1923076925
6,bc_hanging_parrot,2748500.487804878
7,scarlet_minivet,2632346.5943396227
8,wc_laughingthrush,2627165.9139784947
9,gf_leafbird,2597120.4395604394
10,vf_nuthatch,2512746.785714286
11,lg_leafbird,2406689.512820513
12,hooded_butcherbird,2378705.977272727
13,vh_sunbird,2086364.1923076923
14,ft_barbet,2049187.5128205128
15,af_bluebird,1770140.5
16,Eurasian_jay,1644282.690140845
17,rubythroat,1570103.1635220125
18,sum_laughingthrush,1534991.9923076923
19,crested_myna,1264046.12987013
20,rw_bulbul,1241778.5324675324
21,rb_leiothrix,1214184.247311828
22,gg_leafbird,1137120.8797468354
23,rb_starling,1064309.9548022598
24,jb_pitta,993275.5688073394
25,zebra_dove,978527.2893401015
26,cc_laughing,919317.7191011236
27,great_myna,864657.2098765433
28,sb_munia,789601.3673469388
29,lb_white_eye,721205.3777777777
30,oriental_skylark,720973.0786516854
31,om_robin,714411.1747572816
32,wr_shama,698526.8603603604
33,wh_munia,692086.5125
34,bt_laughingthrush,627357.3296703297
35,common_myna,610719.8211382114
36,bh_bulbul,606152.5064935065
37,Eurasian_siskin,577570.0101010101
38,yb_tit,573624.1411764706
39,crested_lark,555804.6829268293
40,spotted_dove,550896.8941798941
41,zebra_finch,511600.77987421385
42,jp_starling,503496.5588235294
43,swinhoes_white_eye,495645.01739130437
44,Common_redpoll,476313.35164835164
45,javan_sparrow,453028.10191082803
46,se_mesia,422391.57009345794
47,wr_munia,420333.5317460318
48,cc_thrush,344523.23387096776
49,hill_myna,308091.95815899584
50,oh_thrush,305286.1307692308
51,jap_grosbeak,297800.173553719
52,hoopoe,276108.9324324324
53,fischers_lovebird,262353.64444444445
54,bm_leafbird,245094.2068965517
55,hwamei,205850.7111111111
56,bluethroat,105917.51260504202
