True Label,Predicted Label,Count
lg_leafbird,gg_leafbird,4
zebra_dove,spotted_dove,4
great_myna,hill_myna,4
swinhoes_white_eye,lb_white_eye,3
crested_myna,hill_myna,3
rb_starling,zebra_finch,3
gg_leafbird,bc_hanging_parrot,3
wc_laughingthrush,sum_laughingthrush,3
bw_leafbird,gf_leafbird,2
spotted_dove,sh_bulbul,2
gg_leafbird,bw_leafbird,2
gg_leafbird,lg_leafbird,2
great_myna,common_myna,2
rw_bulbul,bt_laughingthrush,2
javan_sparrow,rb_starling,2
jb_pitta,hill_myna,2
rb_starling,se_mesia,2
lb_white_eye,Eurasian_siskin,2
oriental_skylark,crested_lark,2
sb_munia,wr_munia,2
crested_lark,oriental_skylark,2
bluethroat,hwamei,2
zebra_dove,sh_bulbul,2
bali_myna,javan_sparrow,2
wh_munia,wr_munia,2
wr_munia,wc_laughingthrush,1
wr_munia,zebra_dove,1
scarlet_minivet,bh_bulbul,1
wr_shama,af_bluebird,1
rw_bulbul,hoopoe,1
rw_bulbul,af_bluebird,1
rw_bulbul,Eurasian_jay,1
wr_munia,vh_sunbird,1
Common_redpoll,crested_lark,1
yb_tit,se_mesia,1
zebra_dove,rf_laughingthrush,1
rb_starling,sh_bulbul,1
rb_leiothrix,swinhoes_white_eye,1
zebra_finch,crested_myna,1
rb_leiothrix,sh_bulbul,1
zebra_finch,javan_sparrow,1
rb_leiothrix,se_mesia,1
rb_leiothrix,hooded_butcherbird,1
zebra_finch,rw_bulbul,1
rf_laughingthrush,vf_nuthatch,1
wc_laughingthrush,zebra_finch,1
wc_laughingthrush,bh_bulbul,1
vh_sunbird,hooded_butcherbird,1
vf_nuthatch,wh_munia,1
wh_munia,bt_laughingthrush,1
swinhoes_white_eye,gg_leafbird,1
sum_laughingthrush,zebra_dove,1
sum_laughingthrush,wc_laughingthrush,1
spotted_dove,wr_munia,1
wh_munia,jap_grosbeak,1
se_mesia,hill_myna,1
spotted_dove,rb_starling,1
spotted_dove,hwamei,1
rb_leiothrix,gg_leafbird,1
sh_bulbul,zebra_dove,1
sh_bulbul,rb_starling,1
sh_bulbul,om_robin,1
sh_bulbul,Common_redpoll,1
se_mesia,wh_munia,1
se_mesia,rb_starling,1
se_mesia,lb_white_eye,1
wr_munia,javan_sparrow,1
spotted_dove,sb_munia,1
cg_magpie,vf_nuthatch,1
cg_magpie,rubythroat,1
cc_thrush,wr_shama,1
cc_thrush,rb_starling,1
cc_laughing,zebra_finch,1
cc_laughing,common_myna,1
cc_laughing,Eurasian_jay,1
bw_leafbird,gg_leafbird,1
bt_laughingthrush,zebra_dove,1
bt_laughingthrush,wc_laughingthrush,1
bt_laughingthrush,spotted_dove,1
bt_laughingthrush,sh_bulbul,1
jp_starling,hooded_butcherbird,1
bh_bulbul,gg_leafbird,1
bh_bulbul,Eurasian_siskin,1
bc_hanging_parrot,lg_leafbird,1
bc_hanging_parrot,bw_leafbird,1
Common_redpoll,hwamei,1
af_bluebird,bm_leafbird,1
Eurasian_siskin,swinhoes_white_eye,1
Eurasian_siskin,lb_white_eye,1
Eurasian_siskin,ft_barbet,1
Eurasian_jay,vh_sunbird,1
Common_redpoll,sh_bulbul,1
zebra_finch,zebra_dove,1
bali_myna,sum_laughingthrush,1
bluethroat,wr_munia,1
oriental_skylark,spotted_dove,1
om_robin,hooded_butcherbird,1
oh_thrush,fischers_lovebird,1
lb_white_eye,swinhoes_white_eye,1
yb_tit,cc_thrush,1
jp_starling,common_myna,1
jb_pitta,wr_munia,1
javan_sparrow,zebra_finch,1
jap_grosbeak,rb_starling,1
hwamei,rf_laughingthrush,1
hwamei,common_myna,1
hill_myna,hooded_butcherbird,1
common_myna,hill_myna,1
hill_myna,cc_laughing,1
great_myna,rb_starling,1
gg_leafbird,bm_leafbird,1
gf_leafbird,lg_leafbird,1
gf_leafbird,gg_leafbird,1
gf_leafbird,bm_leafbird,1
ft_barbet,gg_leafbird,1
fischers_lovebird,javan_sparrow,1
fischers_lovebird,af_bluebird,1
crested_myna,common_myna,1
common_myna,se_mesia,1
common_myna,rb_starling,1
common_myna,jap_grosbeak,1
hill_myna,crested_myna,1
